Id,UserId,PostId,VoteTypeId,BountyAmount,CreationDate
394,,126,2,,2010-09-14T00:00:00.000
395,,134,2,,2010-09-15T00:00:00.000
396,,128,2,,2010-09-15T00:00:00.000
397,,142,2,,2010-09-15T00:00:00.000
398,,43,2,,2010-09-17T00:00:00.000
399,,134,2,,2010-09-22T00:00:00.000
400,,126,2,,2010-09-22T00:00:00.000
401,,146,2,,2010-09-22T00:00:00.000
402,,145,2,,2010-09-22T00:00:00.000
403,,146,2,,2010-09-23T00:00:00.000
404,,13,2,,2010-09-24T00:00:00.000
405,,67,2,,2010-09-24T00:00:00.000
406,,92,2,,2010-09-24T00:00:00.000
407,,92,3,,2010-09-25T00:00:00.000
408,,92,3,,2010-09-26T00:00:00.000
409,,6,2,,2010-09-26T00:00:00.000
410,,6,2,,2010-09-26T00:00:00.000
411,,146,2,,2010-09-28T00:00:00.000
412,,6,2,,2010-09-28T00:00:00.000
413,,146,2,,2010-09-29T00:00:00.000
414,,147,3,,2010-09-29T00:00:00.000
415,,147,3,,2010-09-29T00:00:00.000
416,,147,10,,2010-09-29T00:00:00.000
417,,114,2,,2010-09-29T00:00:00.000
418,,115,2,,2010-09-29T00:00:00.000
419,,148,2,,2010-09-30T00:00:00.000
420,,148,2,,2010-09-30T00:00:00.000
421,,149,2,,2010-09-30T00:00:00.000
422,,148,2,,2010-09-30T00:00:00.000
423,,150,2,,2010-09-30T00:00:00.000
424,,149,2,,2010-09-30T00:00:00.000
425,,148,2,,2010-09-30T00:00:00.000
426,,150,2,,2010-09-30T00:00:00.000
427,,149,2,,2010-09-30T00:00:00.000
430,,150,2,,2010-09-30T00:00:00.000
431,,17,2,,2010-09-30T00:00:00.000
433,,6,2,,2010-10-01T00:00:00.000
434,,151,2,,2010-10-03T00:00:00.000
435,,132,2,,2010-10-03T00:00:00.000
436,,152,2,,2010-10-04T00:00:00.000
437,,152,2,,2010-10-04T00:00:00.000
438,,6,2,,2010-10-04T00:00:00.000
439,,149,2,,2010-10-05T00:00:00.000
440,,152,2,,2010-10-05T00:00:00.000
441,,126,3,,2010-10-05T00:00:00.000
442,,149,2,,2010-10-05T00:00:00.000
444,,146,2,,2010-10-08T00:00:00.000
446,,148,2,,2010-10-08T00:00:00.000
448,,24,2,,2010-10-10T00:00:00.000
449,,155,2,,2010-10-10T00:00:00.000
450,,140,2,,2010-10-10T00:00:00.000
451,,149,1,,2010-10-10T00:00:00.000
452,,148,2,,2010-10-11T00:00:00.000
453,,156,2,,2010-10-11T00:00:00.000
454,,156,2,,2010-10-11T00:00:00.000
456,,146,2,,2010-10-12T00:00:00.000
457,,12,2,,2010-10-13T00:00:00.000
458,,158,2,,2010-10-13T00:00:00.000
459,,154,2,,2010-10-13T00:00:00.000
460,,148,2,,2010-10-13T00:00:00.000
461,,149,2,,2010-10-13T00:00:00.000
462,,152,2,,2010-10-13T00:00:00.000
463,,151,2,,2010-10-13T00:00:00.000
464,,3,2,,2010-10-14T00:00:00.000
465,,158,2,,2010-10-14T00:00:00.000
466,,159,2,,2010-10-14T00:00:00.000
467,,157,2,,2010-10-14T00:00:00.000
468,,159,2,,2010-10-15T00:00:00.000
469,,162,2,,2010-10-16T00:00:00.000
470,,162,2,,2010-10-17T00:00:00.000
471,,155,2,,2010-10-18T00:00:00.000
472,,156,2,,2010-10-18T00:00:00.000
473,,150,2,,2010-10-18T00:00:00.000
475,,164,2,,2010-10-19T00:00:00.000
476,,164,2,,2010-10-20T00:00:00.000
477,,167,2,,2010-10-21T00:00:00.000
478,,167,1,,2010-10-21T00:00:00.000
479,,166,2,,2010-10-21T00:00:00.000
480,,167,2,,2010-10-21T00:00:00.000
481,,167,2,,2010-10-22T00:00:00.000
482,,149,2,,2010-10-23T00:00:00.000
483,,152,2,,2010-10-23T00:00:00.000
484,,156,2,,2010-10-23T00:00:00.000
485,,151,2,,2010-10-23T00:00:00.000
486,,149,2,,2010-10-26T00:00:00.000
487,,89,2,,2010-10-26T00:00:00.000
488,,90,2,,2010-10-26T00:00:00.000
489,,167,2,,2010-10-26T00:00:00.000
490,,148,2,,2010-10-29T00:00:00.000
491,,149,2,,2010-10-29T00:00:00.000
492,,168,2,,2010-11-01T00:00:00.000
493,,168,2,,2010-11-01T00:00:00.000
494,,169,2,,2010-11-01T00:00:00.000
495,,153,2,,2010-11-02T00:00:00.000
496,,169,2,,2010-11-02T00:00:00.000
497,,168,2,,2010-11-02T00:00:00.000
498,,167,2,,2010-11-03T00:00:00.000
499,,169,2,,2010-11-04T00:00:00.000
500,,169,2,,2010-11-08T00:00:00.000
501,,168,2,,2010-11-08T00:00:00.000
504,,54,1,,2010-11-12T00:00:00.000
505,,144,2,,2010-11-16T00:00:00.000
506,,138,2,,2010-11-16T00:00:00.000
507,,27,2,,2010-11-17T00:00:00.000
508,,173,2,,2010-11-19T00:00:00.000
509,,172,2,,2010-11-19T00:00:00.000
510,,173,2,,2010-11-19T00:00:00.000
511,,173,2,,2010-11-19T00:00:00.000
512,,172,2,,2010-11-19T00:00:00.000
514,,173,2,,2010-11-20T00:00:00.000
515,,174,2,,2010-11-20T00:00:00.000
516,,172,2,,2010-11-20T00:00:00.000
518,,110,2,,2010-11-21T00:00:00.000
519,,149,2,,2010-11-22T00:00:00.000
520,,152,2,,2010-11-22T00:00:00.000
521,,156,2,,2010-11-22T00:00:00.000
522,,172,2,,2010-11-22T00:00:00.000
523,,175,2,,2010-11-22T00:00:00.000
525,,173,2,,2010-11-22T00:00:00.000
526,,175,2,,2010-11-22T00:00:00.000
527,,175,2,,2010-11-22T00:00:00.000
528,,175,2,,2010-11-22T00:00:00.000
529,,175,2,,2010-11-22T00:00:00.000
530,,174,2,,2010-11-22T00:00:00.000
531,,173,2,,2010-11-23T00:00:00.000
532,,174,3,,2010-11-23T00:00:00.000
533,,175,2,,2010-11-23T00:00:00.000
534,,175,1,,2010-11-23T00:00:00.000
535,,172,2,,2010-11-24T00:00:00.000
536,,175,2,,2010-11-24T00:00:00.000
537,,123,2,,2010-11-24T00:00:00.000
538,,121,2,,2010-11-24T00:00:00.000
539,,128,2,,2010-11-24T00:00:00.000
540,,167,2,,2010-11-24T00:00:00.000
541,,166,2,,2010-11-24T00:00:00.000
542,,149,2,,2010-11-24T00:00:00.000
543,,73,2,,2010-11-24T00:00:00.000
544,,175,2,,2010-11-24T00:00:00.000
545,,172,2,,2010-11-24T00:00:00.000
546,,173,2,,2010-11-24T00:00:00.000
547,,125,2,,2010-11-25T00:00:00.000
548,,126,2,,2010-11-25T00:00:00.000
549,,127,2,,2010-11-25T00:00:00.000
550,,86,2,,2010-11-26T00:00:00.000
551,,175,2,,2010-11-27T00:00:00.000
552,,174,2,,2010-12-01T00:00:00.000
553,,109,2,,2010-12-01T00:00:00.000
554,,156,2,,2010-12-03T00:00:00.000
555,,149,2,,2010-12-03T00:00:00.000
556,,176,2,,2010-12-05T00:00:00.000
558,,172,2,,2010-12-06T00:00:00.000
559,,84,2,,2010-12-06T00:00:00.000
560,,86,2,,2010-12-06T00:00:00.000
561,,88,2,,2010-12-06T00:00:00.000
562,,169,1,,2010-12-07T00:00:00.000
564,,169,2,,2010-12-07T00:00:00.000
565,,180,2,,2010-12-07T00:00:00.000
566,,181,2,,2010-12-07T00:00:00.000
567,,182,2,,2010-12-07T00:00:00.000
568,,180,2,,2010-12-08T00:00:00.000
569,,182,2,,2010-12-08T00:00:00.000
570,,180,2,,2010-12-09T00:00:00.000
571,,182,2,,2010-12-09T00:00:00.000
572,,182,2,,2010-12-09T00:00:00.000
573,,182,2,,2010-12-09T00:00:00.000
574,,181,2,,2010-12-12T00:00:00.000
575,,151,2,,2010-12-12T00:00:00.000
576,,176,2,,2010-12-12T00:00:00.000
577,,180,2,,2010-12-13T00:00:00.000
578,,182,2,,2010-12-13T00:00:00.000
579,,169,2,,2010-12-13T00:00:00.000
580,,181,2,,2010-12-13T00:00:00.000
581,,168,2,,2010-12-13T00:00:00.000
583,,169,2,,2010-12-13T00:00:00.000
584,,148,2,,2010-12-14T00:00:00.000
586,,128,2,,2010-12-14T00:00:00.000
587,,134,2,,2010-12-14T00:00:00.000
588,,133,2,,2010-12-14T00:00:00.000
589,,183,2,,2010-12-14T00:00:00.000
590,,183,2,,2010-12-14T00:00:00.000
591,,175,2,,2010-12-16T00:00:00.000
592,,173,2,,2010-12-16T00:00:00.000
593,,18,2,,2010-12-16T00:00:00.000
594,,17,2,,2010-12-16T00:00:00.000
595,,186,2,,2010-12-17T00:00:00.000
596,,185,2,,2010-12-17T00:00:00.000
597,,187,2,,2010-12-17T00:00:00.000
598,,186,2,,2010-12-17T00:00:00.000
599,,184,2,,2010-12-17T00:00:00.000
600,,161,2,,2010-12-17T00:00:00.000
601,,187,2,,2010-12-17T00:00:00.000
602,,187,2,,2010-12-17T00:00:00.000
603,,184,2,,2010-12-17T00:00:00.000
604,,186,2,,2010-12-17T00:00:00.000
605,,187,2,,2010-12-17T00:00:00.000
606,,190,2,,2010-12-17T00:00:00.000
607,,190,2,,2010-12-17T00:00:00.000
608,,187,2,,2010-12-17T00:00:00.000
609,,184,2,,2010-12-17T00:00:00.000
611,,189,2,,2010-12-17T00:00:00.000
612,,184,2,,2010-12-17T00:00:00.000
613,,191,2,,2010-12-17T00:00:00.000
614,,185,2,,2010-12-17T00:00:00.000
615,,160,2,,2010-12-17T00:00:00.000
616,,191,2,,2010-12-17T00:00:00.000
617,,189,2,,2010-12-17T00:00:00.000
618,,191,2,,2010-12-17T00:00:00.000
619,,189,3,,2010-12-17T00:00:00.000
620,,185,2,,2010-12-17T00:00:00.000
621,,192,2,,2010-12-17T00:00:00.000
622,,192,2,,2010-12-17T00:00:00.000
623,,192,2,,2010-12-18T00:00:00.000
624,,193,2,,2010-12-18T00:00:00.000
625,,195,2,,2010-12-20T00:00:00.000
626,,195,2,,2010-12-20T00:00:00.000
627,,196,2,,2010-12-21T00:00:00.000
628,,195,2,,2010-12-21T00:00:00.000
629,,194,2,,2010-12-21T00:00:00.000
630,,162,2,,2010-12-21T00:00:00.000
631,,159,2,,2010-12-21T00:00:00.000
632,,195,2,,2010-12-21T00:00:00.000
633,,195,2,,2010-12-22T00:00:00.000
634,,186,2,,2010-12-22T00:00:00.000
635,,192,2,,2010-12-22T00:00:00.000
636,,187,2,,2010-12-22T00:00:00.000
637,,199,2,,2010-12-22T00:00:00.000
638,,198,2,,2010-12-22T00:00:00.000
